SenderID;ReceiverID;EventTime
157480;11023;2011-12-09 05:34:35
157480;11023;2011-12-09 05:37:56
11023;157480;2011-12-09 05:38:52
157480;11023;2011-12-09 05:39:38
11023;157480;2011-12-09 05:41:19
11023;157480;2011-12-09 05:44:20
157480;11023;2011-12-09 05:45:36
11023;157480;2011-12-09 05:48:08
157480;11023;2011-12-09 05:50:48
11023;157480;2011-12-09 05:52:38
157480;11023;2011-12-09 05:57:23
11023;157480;2011-12-09 06:00:02
157480;11023;2011-12-09 06:04:38
11023;157480;2011-12-09 06:05:36
157480;11023;2011-12-09 06:08:03
11023;157480;2011-12-09 06:10:30
157480;11023;2011-12-09 06:12:18
11023;157480;2011-12-09 06:12:54
157480;11023;2011-12-09 06:16:05
11023;157480;2011-12-09 06:17:18
157480;11023;2011-12-09 06:19:14
11023;157480;2011-12-09 06:23:19
157480;11023;2011-12-09 06:24:00
11023;157480;2011-12-09 06:25:51
157480;11023;2011-12-09 06:26:34
11023;157480;2011-12-09 06:27:02
157480;11023;2011-12-09 06:28:37
11023;157480;2011-12-09 06:30:39
157480;11023;2011-12-09 06:32:07
11023;157480;2011-12-09 06:33:23
157480;11023;2011-12-09 06:34:04
11023;157480;2011-12-09 06:34:34
157480;11023;2011-12-09 06:35:26
11023;157480;2011-12-09 06:37:24
157480;11023;2011-12-09 06:38:36
11023;157480;2011-12-09 06:40:29
157480;11023;2011-12-09 06:43:58
157480;11023;2011-12-09 06:44:04
11023;157480;2011-12-09 06:45:51
157480;11023;2011-12-09 06:47:12
11023;157480;2011-12-09 06:49:04
157480;11023;2011-12-09 06:50:48
11023;157480;2011-12-09 13:23:19
362305;11023;2011-12-09 15:02:34
11023;362305;2011-12-09 16:08:28
15723;11023;2011-12-09 16:23:38
11023;15723;2011-12-09 16:24:33
15723;11023;2011-12-09 16:29:27
11023;15723;2011-12-09 16:44:51
11023;144571;2011-12-09 16:55:24
11023;147795;2011-12-09 17:10:24
11023;144571;2011-12-09 17:29:56
147795;11023;2011-12-09 17:33:02
11023;147795;2011-12-09 17:33:44
147795;11023;2011-12-09 17:37:28
11023;147795;2011-12-09 17:37:50
156550;11023;2011-12-09 17:55:47
11023;15723;2011-12-09 18:01:35
15723;11023;2011-12-09 18:02:28
11023;15723;2011-12-09 18:02:57
156550;11023;2011-12-09 18:32:09
11023;156550;2011-12-09 18:48:48
156550;11023;2011-12-09 18:50:35
157480;11023;2011-12-09 18:51:22
157480;11023;2011-12-09 18:51:47
11023;157480;2011-12-09 18:52:14
157480;11023;2011-12-09 18:53:29
11023;157480;2011-12-09 19:00:27
11023;189277;2011-12-09 19:01:08
144571;11023;2011-12-09 19:01:41
189277;11023;2011-12-09 19:03:18
